s,x,y,d,ID,sex,genus,species
255,297,262,mothra03.0810.0516,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0518,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0520,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0522,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0524,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0526,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0528,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0530,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0532,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0534,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0536,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0538,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0540,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0542,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0544,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0546,99.9%_s10g15,female,ostrinia,nubilalis
225,297,264,mothra03.0810.0548,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0550,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0552,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0554,99.9%_s10g15,female,ostrinia,nubilalis
807,300,258,mothra03.0810.0556,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0558,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0600,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0602,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0604,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0606,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0608,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0610,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0612,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0614,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0616,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0618,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0620,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0622,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0624,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0626,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0628,99.9%_s10g15,female,ostrinia,nubilalis
637,300,259,mothra03.0810.0630,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0632,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0634,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0636,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0638,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0640,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0642,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0644,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0646,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0648,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0650,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0652,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0654,99.9%_s10g15,female,ostrinia,nubilalis
3461,743,1352,mothra03.0810.0656,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0658,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0700,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0702,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0704,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0706,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0708,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0710,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0712,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0714,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0716,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0718,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0720,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0722,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0724,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0726,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0728,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0730,99.9%_s10g15,female,ostrinia,nubilalis
438,385,254,mothra03.0810.0732,99.9%_s10g15,female,ostrinia,nubilalis
725,298,318,mothra03.0810.0732,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0736,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0738,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0740,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0742,99.9%_s10g15,female,ostrinia,nubilalis
